Poll,Date,Trump,Carson,Rubio,Cruz,Bush,Fiorina,Huckabee,Christie,Kasich,Paul,Graham,Pataki,Santorum,Jindal,Spread
RCP Average,11/15 - 11/19,27.5,19.8,12.5,11.3,5.5,3.5,3.3,3,2.8,2.5,0.8,0.8,0.5,0,Trump +7.7
FOX News,11/16 - 11/19,28,18,14,14,5,3,3,3,2,2,0,1,0,--,Trump +10
ABC/Wash Post,11/16 - 11/19,32,22,11,8,6,4,3,2,3,3,1,0,1,0,Trump +10
PPP (D),11/16 - 11/17,26,19,13,14,5,4,4,3,3,2,1,1,0,0,Trump +7
Bloomberg,11/15 - 11/17,24,20,12,9,6,3,3,4,3,3,1,1,1,--,Trump +4
FOX News,11/1 - 11/3,26,23,11,11,4,3,4,2,4,4,0,0,0,0,Trump +3
McClatchy/Marist,10/29 - 11/4,23,24,12,8,8,3,3,2,4,5,0,1,1,1,Carson +1
Quinnipiac,10/29 - 11/2,24,23,14,13,4,3,1,3,3,2,0,0,1,0,Trump +1
NBC/WSJ,10/25 - 10/29,23,29,11,10,8,3,3,3,3,2,--,--,--,--,Carson +6
IBD/TIPP,10/24 - 10/29,28,23,11,6,6,3,1,1,1,2,0,0,1,2,Trump +5
CBS/NY Times,10/21 - 10/25,22,26,8,4,7,7,4,1,4,4,2,0,1,0,Carson +4
NBC/WSJ,10/15 - 10/18,25,22,13,9,8,7,3,1,3,2,0,0,0,0,Trump +3
Monmouth,10/15 - 10/18,28,18,6,10,5,6,4,3,1,4,1,0,0,1,Trump +10
ABC/Wash Post,10/15 - 10/18,32,22,10,6,7,5,3,3,2,2,1,1,0,0,Trump +10
CNN/ORC,10/14 - 10/17,27,22,8,4,8,4,5,4,3,5,1,0,2,0,Trump +5
FOX News,10/10 - 10/12,24,23,9,10,8,5,5,1,1,3,0,1,0,1,Trump +1
CBS News,10/4 - 10/8,27,21,8,9,6,6,2,3,2,4,0,0,1,0,Trump +6
PPP (D),10/1 - 10/4,27,17,13,7,10,6,4,2,4,2,1,1,2,1,Trump +10
IBD/TIPP,9/26 - 10/1,17,24,11,6,8,9,2,2,4,3,0,0,0,1,Carson +7
USAT/Suffolk,9/24 - 9/28,23,13,9,6,8,13,2,1,2,2,1,0,0,1,Trump +10
Pew Research*,9/22 - 9/27,25,16,8,6,4,8,2,1,1,2,1,0,0,0,Trump +9
NBC/WSJ,9/20 - 9/24,21,20,11,5,7,11,2,3,6,3,0,0,1,1,Trump +1
FOX News,9/20 - 9/22,26,18,9,8,7,9,3,5,4,2,0,1,0,0,Trump +8
Bloomberg,9/18 - 9/21,21,16,8,5,13,11,3,4,4,2,0,0,1,1,Trump +5
Quinnipiac,9/17 - 9/21,25,17,9,7,10,12,2,2,2,1,0,1,0,0,Trump +8
CNN/ORC,9/17 - 9/19,24,14,11,6,9,15,6,3,2,4,0,0,1,0,Trump +9
CBS/NY Times,9/9 - 9/13,27,23,6,5,6,4,6,1,3,3,0,0,1,0,Trump +4
ABC/Wash Post,9/7 - 9/10,33,20,7,7,8,2,3,1,3,5,0,0,1,1,Trump +13
CNN/ORC,9/4 - 9/8,32,19,3,7,9,3,5,2,2,3,1,0,1,1,Trump +13
Monmouth,8/31 - 9/2,30,18,5,8,8,4,4,2,2,2,0,0,0,0,Trump +12
PPP (D),8/28 - 8/30,29,15,7,6,9,8,5,2,6,1,0,0,2,0,Trump +14
Quinnipiac,8/20 - 8/25,28,12,7,7,7,5,3,4,5,2,0,0,1,0,Trump +16
CNN/ORC,8/13 - 8/16,24,9,8,5,13,5,4,3,5,6,0,0,1,0,Trump +11
FOX News,8/11 - 8/13,25,12,4,10,9,5,6,3,4,3,0,1,1,1,Trump +13
Rasmussen,8/9 - 8/10,17,8,10,7,10,9,3,4,4,4,1,0,1,1,Trump +7
FOX News,7/30 - 8/2,26,7,5,6,15,2,6,3,3,5,0,0,2,1,Trump +11
Monmouth,7/30 - 8/2,26,5,4,6,12,2,6,4,3,4,1,0,1,1,Trump +14
Bloomberg,7/30 - 8/2,21,5,6,4,10,1,7,4,4,5,1,0,2,1,Trump +11
CBS News,7/29 - 8/2,24,6,6,6,13,0,8,3,1,4,0,1,1,2,Trump +11
NBC/WSJ,7/26 - 7/30,19,10,5,9,14,0,6,3,3,6,0,0,1,1,Trump +4
Quinnipiac,7/23 - 7/28,20,6,6,5,10,1,6,3,5,6,1,1,1,2,Trump +7
Rasmussen,7/26 - 7/27,26,5,5,7,10,1,7,2,5,3,1,1,2,2,Trump +12
CNN/ORC,7/22 - 7/25,18,4,6,7,15,1,5,4,4,6,1,1,2,2,Trump +3
PPP (D),7/20 - 7/21,19,10,10,4,12,4,8,3,3,4,0,0,1,1,Trump +2
ABC/Wash Post,7/16 - 7/19,24,6,7,4,12,0,8,3,2,6,0,1,1,2,Trump +11
FOX News,7/13 - 7/15,18,6,7,4,14,1,4,3,2,8,0,0,2,0,Trump +3
USAT/Suffolk,7/9 - 7/12,17,4,5,6,14,1,4,3,1,4,0,0,1,1,Trump +3
Monmouth,7/9 - 7/12,13,6,6,9,15,1,7,2,1,6,0,0,2,2,Bush +2
CNN/ORC,6/26 - 6/28,12,7,6,3,19,1,8,3,2,7,1,0,3,2,Bush +7
FOX News,6/21 - 6/23,11,10,8,4,15,3,6,2,2,9,1,1,3,2,Bush +4
NBC/WSJ,6/14 - 6/18,1,11,14,4,22,2,9,4,1,7,1,0,0,0,Bush +5
Monmouth,6/11 - 6/14,2,11,9,5,9,2,8,4,1,6,2,0,3,1,Carson +1
FOX News,5/31 - 6/2,4,11,7,8,12,2,6,5,2,9,2,2,2,1,Tie 
