"","name","mentions_implies_polls","polls_implies_mentions","total_mentions","mentions_in_titles","min_sent","max_sent"
"1","donald trump",0.321930154071983,0.0276657226030366,222,83,-28,46
"2","ben carson",0.989304164461428,0.0161746484447839,91,11,4,34
"3","carly fiorina",0.0161621969555021,0.451233863358185,77,12,-3,23
"4","marco rubio",0.0921896054594227,0.963915465492549,101,5,-21,70
"5","jeb bush",0.543401910578378,0.162510824713494,168,24,-15,47
"6","ted cruz",0.660671658157269,0.459190647856553,95,11,-21,60
"7","rand paul",0.399418590135431,0.761100905511383,68,8,-12,47
"8","john kasich",0.0206702137520448,0.163548994549322,47,3,2,36
"9","mike huckabee",0.137488158923238,0.364377801418049,55,2,-34,31
"10","chris christie",0.160558677284517,0.908939357968335,63,5,-21,6
